symbol,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,currentPrice,YOYPriceChange
MMM,2019-12-31,USD,7070000000,681000000,None,88000000,-715000000,1593000000,1699000000,-345000000,-370000000,4582000000,-6444000000,-1124000000,-316000000,1407000000,1407000000,None,3316000000,3316000000,None,None,None,None,-860000000,547000000,-500000000,-2000000,4570000000,44659000000,12971000000,9000000,577000000,4134000000,4791000000,32552000000,9333000000,16791000000,19823000000,6379000000,13444000000,756000000,113000000,568000000,891000000,1674000000,34533000000,9222000000,2228000000,430000000,2795000000,2527000000,27230000000,111000000,19359000000,247000000,17518000000,21886000000,3056000000,3275000000,10063000000,29849000000,42135000000,9000000,575184835,15000000000,32136000000,17136000000,17136000000,6174000000,7029000000,1253000000,8609000000,None,-448000000,80000000,448000000,32451000000,-462000000,None,361000000,5700000000,1130000000,448000000,4582000000,4150000000,6148000000,6509000000,Common Stock,3M Company,"The 3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods. The company produces over 60,000 products under several brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical and electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, a suburb of Saint Paul, Minnesota.",66740,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"3M CENTER, BLDG. 220-13E-26A, ST PAUL, MN, US",December,2021-12-31,85956264000,9705000000,14.87,2.023,26.31,5.92,0.0415,10.12,61.06,0.168,0.22,0.103,0.423,35355001000,16579000000,10.12,-0.043,0.003,174.25,14.87,14.12,2.431,5.6,2.768,10.19,0.956,202.24,139.74,169.23,184.97,571100000,2022-03-12,2022-02-17,176.4200,-0.0741052
AOS,2019-12-31,USD,456200000,1000000,None,-35400000,-63900000,78300000,64400000,-62400000,-6300000,370000000,33900000,-375800000,None,287700000,287700000,None,149200000,149200000,None,None,62600000,None,-287700000,None,114300000,None,370000000,3058000000,1500400000,374000000,551400000,303000000,589500000,1557600000,545400000,611500000,884400000,338400000,546000000,177400000,None,177400000,56500000,80900000,1391200000,766500000,509600000,49600000,18800000,6800000,624700000,38700000,284000000,6800000,277200000,284000000,250100000,188600000,1666800000,1112700000,2323400000,164500000,162912432,1180700000,2981700000,2543400000,1812000000,529100000,715600000,87900000,819300000,None,-11000000,None,11000000,2992700000,18000000,None,15800000,472100000,102100000,11000000,370000000,372500000,483100000,498900000,Common Stock,A. O. Smith Corporation,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,91142,NYSE,USD,USA,MANUFACTURING,HOUSEHOLD APPLIANCES,"11270 WEST PARK PLACE, MILWAUKEE, WI, US",December,2021-12-31,10921154000,686800000,22.98,2.006,11.62,1.06,0.0161,3.02,22.13,0.138,0.172,0.115,0.265,3538900000,1310900000,3.02,0.182,0.193,82.78,22.98,20.04,3.086,6.12,3.05,15.25,1.163,86.42,58.87,78.31,73.04,131414000,2022-02-15,2022-01-28,47.6400,0.1156909
ABT,2019-12-31,USD,6136000000,930000000,None,-325000000,1006000000,3014000000,1638000000,275000000,593000000,3687000000,-1815000000,-4289000000,None,718000000,718000000,None,2270000000,2270000000,None,None,0,None,-420000000,None,32000000,None,3687000000,67887000000,15667000000,3860000000,4140000000,4316000000,5425000000,50165000000,8038000000,8761000000,40225000000,17025000000,23200000000,321000000,883000000,280000000,1786000000,52220000000,36799000000,10863000000,3252000000,294000000,1683000000,201000000,20233000000,755000000,17938000000,1277000000,16661000000,18139000000,6133000000,3944000000,31088000000,10147000000,25847000000,23853000000,1768045000,16737000000,31164000000,24932000000,13231000000,4532000000,9765000000,2440000000,14141000000,94000000,-670000000,94000000,670000000,31834000000,191000000,1078000000,1936000000,4077000000,390000000,733000000,3687000000,2808000000,4747000000,6683000000,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",December,2021-12-31,215867605000,12756000000,31.07,2.19,20.3,1.82,0.0158,3.94,24.27,0.164,0.214,0.078,0.205,43074998000,25009000000,3.94,-0.075,0.072,143.72,31.07,24.15,5.01,6.0,4.997,20.02,0.742,142.1,104.19,130.01,123.59,1763480000,2022-05-16,2022-04-13,86.8600,0.2008848
ABBV,2019-12-31,USD,13324000000,3381000000,None,-1121000000,208000000,2017000000,552000000,74000000,231000000,7882000000,596000000,18708000000,-3699000000,629000000,629000000,None,6366000000,6366000000,None,None,31482000000,None,-621000000,None,32635000000,7000000,7882000000,89115000000,49519000000,39924000000,39924000000,1813000000,5428000000,39596000000,2962000000,5226000000,34253000000,18649000000,15604000000,None,93000000,0,2354000000,2288000000,102962000000,15585000000,1452000000,None,3753000000,0,80572000000,None,67233000000,3753000000,None,67233000000,10380000000,17597000000,-8172000000,24504000000,4717000000,18000000,1484000000,25827000000,33266000000,7439000000,7439000000,12983000000,6942000000,6792000000,16206000000,275000000,-1784000000,275000000,1784000000,33224000000,-3006000000,464000000,1553000000,8426000000,544000000,1784000000,7882000000,6766000000,10210000000,11763000000,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",December,2021-12-31,264498856000,28050000000,23.18,1.279,8.71,5.31,0.0388,6.45,31.75,0.205,0.347,0.0822,0.809,56197001000,38883000000,6.45,248.9,0.074,149.75,23.18,10.2,4.707,18.79,5.75,21.02,0.798,150.36,97.51,137.55,120.24,1768750000,2022-05-16,2022-04-13,88.5400,-0.0395921
ABMD,2019-03-31,USD,252197000,5290000,None,9484000,61731000,11156000,44004000,22023000,37181000,259016000,-116455000,-55775000,None,None,None,None,None,None,None,None,None,None,16001000,None,78046000,-1921000,259016000,1054346000,677197000,121021000,121021000,80942000,90809000,377149000,145005000,39700000,47809000,15208000,32601000,80779000,21718000,370677000,13748000,85115000,117456000,105998000,32185000,16393000,None,None,11458000,None,None,None,None,None,57420000,1061000,936890000,138852000,399473000,451000,45122985,304194000,769432000,465238000,129567000,224812000,321550000,93503000,415053000,8166000,None,8166000,None,769432000,30382000,13900000,14121000,263360000,4344000,None,259016000,248531000,224812000,238933000,Common Stock,Abiomed Inc,"Abiomed is a publicly-traded medical devices company that develops and manufactures external and implantable circulatory support devices. The company is headquartered in Danvers, Massachusetts and has three additional offices, two in Germany in the cities of Berlin and Aachen, and another in Tokyo, Japan.",815094,NASDAQ,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"22 CHERRY HILL DRIVE, DANVERS, MA, UNITED STATES",March,2021-12-31,14214708000,280839000,107.36,2.75,31.48,0,0,2.909,22.11,0.133,0.253,0.105,0.0988,1003148000,685615000,2.909,-0.259,0.127,365,107.36,-,14.17,9.48,12.87,45.77,1.359,379.3,261.27,315.15,324.88,45516200,None,None,285.5900,-0.0185573
ACN,2019-08-31,USD,6626953000,1587273000,None,736628000,1112474000,892760000,599009000,526297000,None,4839547000,-1755576000,-3767171000,None,2691114000,2691114000,None,1864353000,1864353000,None,None,None,None,-1842669000,None,1065493000,-38713000,4779112000,29789880000,15450601000,6126853000,6130166000,None,7467338000,14339279000,1391166000,1956029000,7046329000,840779000,6205550000,88811000,240313000,3313000,1225523000,5528239000,15380872000,11061896000,1646641000,3754059000,6411000,6411000,3900293000,None,16247000,6411000,None,22658000,504751000,3185590000,14409008000,1388376000,10421538000,72000,637049388,13314688000,43215013000,29900325000,29900325000,6305074000,7009614000,799734000,7986498000,87508000,-22963000,87508000,22963000,112113000,-117822000,440796000,177150000,6184668000,1405556000,22963000,4846241000,4514706000,6207631000,6384781000,Common Stock,Accenture plc,"Accenture plc is an Irish-domiciled multinational company that provides consulting and processing services. It has been incorporated in Dublin, Ireland since 2009.",1467373,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1 GRAND CANAL SQUARE, GRAND CANAL HARBOUR, DUBLIN, IE",August,2021-11-30,203826659000,9030121000,33.55,2.544,32.2,3.7,0.0123,9.61,84.72,0.115,0.152,0.125,0.32,53736358000,16364128000,9.61,0.197,0.272,380.96,33.55,30.49,3.793,9.97,3.737,19.75,1.214,416.29,241.65,362.18,335.15,632001000,2022-02-15,2022-01-12,198.1700,0.1721181
ATVI,2018-12-31,USD,1831000000,222000000,None,-200000000,-353000000,332000000,116000000,-182000000,-7000000,1503000000,-22000000,-237000000,None,None,None,None,283000000,283000000,None,None,0,None,105000000,None,1569000000,-3000000,1848000000,17890000000,6106000000,4225000000,4225000000,43000000,1035000000,11261000000,282000000,770000000,10497000000,735000000,9762000000,None,None,150000000,803000000,482000000,6498000000,2642000000,253000000,None,None,None,4090000000,None,2671000000,None,2671000000,2671000000,896000000,1147000000,11392000000,5563000000,6593000000,0,765000000,4911000000,7320000000,2517000000,6000000,1988000000,1894000000,1101000000,3504000000,None,-140000000,None,140000000,7460000000,-71000000,138000000,509000000,1877000000,29000000,180000000,1813000000,1847000000,1988000000,2526000000,Common Stock,Activision Blizzard Inc,"Activision Blizzard, Inc. is an American video game holding company based in Santa Monica, California. Activision Blizzard currently includes five business units: Activision Publishing, Blizzard Entertainment, King, Major League Gaming, and Activision Blizzard Studios.",718877,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"3100 OCEAN PARK BLVD, SANTA MONICA, CA, US",December,2021-12-31,63446405000,3452000000,23.67,6.02,22.59,0.47,0.0058,3.44,11.33,0.307,0.379,0.0866,0.165,8803000000,6486000000,3.44,0.106,-0.103,94.34,23.67,22.27,7.21,3.588,6.4,14.92,0.579,99.46,56.4,73.11,79.37,779057000,2022-05-06,2022-04-13,46.5700,-0.2645294
ADM,2019-12-31,USD,-5452000000,850000000,None,848000000,8586000000,993000000,828000000,7394000000,21000000,1379000000,5259000000,-660000000,919000000,150000000,150000000,None,789000000,789000000,None,None,8000000,None,-150000000,None,-853000000,None,1379000000,49719000000,27286000000,666000000,666000000,11713000000,2829000000,22433000000,9779000000,16388000000,5585000000,2134000000,3451000000,4913000000,4913000000,5890000000,6224000000,1054000000,36680000000,18182000000,4474000000,626000000,2044000000,2042000000,11441000000,1124000000,7887000000,2000000,7885000000,9929000000,4943000000,1391000000,20000000000,None,19780000000,2824000000,561000000,4147000000,64656000000,60509000000,60509000000,1032000000,2493000000,154000000,3115000000,192000000,-402000000,192000000,402000000,44000000,-7000000,827000000,165000000,1588000000,209000000,402000000,1379000000,1080000000,1990000000,2155000000,Common Stock,Archer-Daniels-Midland Company,"The Archer-Daniels-Midland Company, commonly known as ADM, is an American multinational food processing and commodities trading corporation founded in 1902 and headquartered in Chicago, Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide, where cereal grains and oilseeds are processed into products used in food, beverage, nutraceutical, industrial, and animal feed markets worldwide.",7084,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"77 W. WACKER DR., CHICAGO, IL, US",December,2021-12-31,44354974000,3934000000,16.47,21.72,40.14,1.48,0.0211,4.79,151.15,0.0318,0.0345,0.0347,0.128,85248999000,5987000000,4.79,0.131,0.284,73.23,16.47,14.56,0.52,1.906,0.605,11.27,0.809,79.06,53.73,71.29,64.83,562167000,2021-09-08,2022-02-07,46.3500,0.1313156
ADBE,2019-11-29,USD,4422000000,152075000,None,198986000,718880000,757000000,394479000,188000000,None,2951458000,-456000000,-2946000000,None,2750000000,2750000000,None,None,None,None,None,None,None,-2517068000,233000000,1007446000,-13000000,2951000000,20762000000,6495000000,2650000000,4177000000,None,1530000000,14582175000,1293000000,1569000000,12411764000,1720565000,10691000000,929616000,None,1527000000,719240000,562000000,10232000000,8191000000,209000000,3500000000,3149000000,3149267000,2041307000,None,989000000,3149343000,None,4138267000,1454110000,173000000,10530000000,10615000000,14829000000,0,482339000,9498000000,11171000000,1673000000,227000000,3268000000,4124984000,1930228000,6230000000,68321000,-157214000,-214000,157000000,-26252000,42255000,None,575400000,3205000000,254000000,157214000,2951458000,2911000000,3362000000,3937400000,Common Stock,Adobe Inc,"Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing.",796343,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"345 PARK AVE, SAN JOSE, CA, US",November,2021-11-30,219896889000,6378000000,46.46,1.723,31.15,0,0,10.02,33.07,0.305,0.368,0.141,0.344,15785000000,13920000000,10.02,-0.447,0.2,653.93,46.46,31.85,13.93,14.13,13.17,31.47,1.014,699.54,416.81,522.42,586.6,472348000,None,2005-03-24,309.5300,0.2337279
AAP,2019-12-31,USD,866909000,559044000,None,173497000,125967000,238371000,299229000,62837000,63130000,486896000,-462939000,-882153000,-59339000,498435000,498435000,None,17185000,17185000,None,3334000,None,None,-495101000,None,-477862000,321000,486896000,11248525000,5695543000,418665000,418665000,4432168000,689469000,5552982000,1433213000,2037849000,1701996000,709756000,992240000,0,0,None,155241000,52448000,7699444000,4477702000,3421987000,None,477982000,None,3236742000,2017159000,747320000,0,747320000,747320000,519852000,123250000,3549081000,924389000,3772848000,8000,69232000,4254746000,9707303000,9065823000,5454257000,677180000,3577566000,None,3611566000,None,-39898000,-41598000,39898000,9707303000,11220000,206700000,31700000,637746000,150850000,10756000,486896000,496520000,677180000,708880000,Common Stock,Advance Auto Parts Inc,"Advance Auto Parts, Inc. (Advance) is an American automotive aftermarket parts provider. Headquartered in Raleigh, North Carolina, it serves both professional installer and do-it-yourself (DIY) customers.",1158449,NYSE,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"2635 EAST MILLBROOK ROAD, RALEIGH, NC, US",December,2021-12-31,12559834000,1161460000,21.53,1.109,50.89,3.25,0.0292,9.55,171.77,0.056,0.082,0.0469,0.184,10997989000,4931356000,9.55,-0.207,0.013,257.59,21.53,17.04,1.142,4.273,1.467,14.62,1.252,244.55,158.71,230.31,216.55,61098000,2022-04-01,2022-03-17,160.1600,0.0171472
