symbol,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,currentPrice,YOYPriceChange
MMM,2017-12-31,USD,6240000000,214000000,None,991000000,632000000,1544000000,1373000000,245000000,387000000,4869000000,-3086000000,-2655000000,578000000,2068000000,2068000000,None,2803000000,2803000000,None,None,None,None,-1334000000,734000000,655000000,156000000,4858000000,37987000000,14277000000,13000000,1076000000,4034000000,4911000000,24151000000,8866000000,16048000000,13449000000,2936000000,10513000000,1290000000,177000000,1076000000,266000000,1395000000,26365000000,7687000000,1945000000,550000000,1853000000,1840000000,20297000000,60000000,13198000000,13000000,12096000000,15038000000,2709000000,2962000000,11563000000,25887000000,39115000000,9000000,594884237,15602000000,31657000000,16055000000,16001000000,7692000000,6626000000,1352000000,7559000000,None,-322000000,50000000,322000000,434000000,-272000000,None,238000000,7537000000,2679000000,322000000,4869000000,5077000000,7859000000,8097000000,Common Stock,3M Company,"The 3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods. The company produces over 60,000 products under several brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical and electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, a suburb of Saint Paul, Minnesota.",66740,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"3M CENTER, BLDG. 220-13E-26A, ST PAUL, MN, US",December,2021-12-31,85956264000,9705000000,14.87,2.023,26.31,5.92,0.0415,10.12,61.06,0.168,0.22,0.103,0.423,35355001000,16579000000,10.12,-0.043,0.003,174.25,14.87,14.12,2.431,5.6,2.768,10.19,0.956,202.24,139.74,169.23,184.97,571100000,2022-03-12,2022-02-17,235.3700,0.3180825
AOS,2017-12-31,USD,326400000,30000000,None,-5100000,122300000,70100000,94200000,75800000,37500000,296500000,-158100000,-152100000,None,139100000,139100000,None,96900000,96900000,None,None,86500000,None,-139100000,None,16200000,None,296500000,3197400000,1766900000,346600000,820000000,297000000,592700000,1430500000,528900000,531200000,825400000,308700000,516700000,473400000,None,473400000,57200000,76200000,1552500000,793800000,535000000,None,7500000,7500000,760000000,None,410400000,7500000,402900000,410400000,246000000,209800000,1644900000,626500000,1788700000,164500000,171855459,1232400000,2986600000,2489900000,1764300000,577900000,722800000,86400000,818300000,None,-10100000,None,10100000,2996700000,21300000,None,13700000,520800000,224300000,10100000,296500000,360200000,530900000,544600000,Common Stock,A. O. Smith Corporation,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,91142,NYSE,USD,USA,MANUFACTURING,HOUSEHOLD APPLIANCES,"11270 WEST PARK PLACE, MILWAUKEE, WI, US",December,2021-12-31,10921154000,686800000,22.98,2.006,11.62,1.06,0.0161,3.02,22.13,0.138,0.172,0.115,0.265,3538900000,1310900000,3.02,0.182,0.193,82.78,22.98,20.04,3.086,6.12,3.05,15.25,1.163,86.42,58.87,78.31,73.04,131414000,2022-02-15,2022-01-28,61.2800,0.2941922
ABT,2017-12-31,USD,5570000000,917000000,None,1764000000,-151000000,3026000000,1135000000,207000000,-249000000,477000000,-9618000000,-5281000000,-1034000000,117000000,827000000,710000000,1849000000,1849000000,None,None,0,None,-477000000,None,-9213000000,116000000,477000000,76250000000,20147000000,9407000000,9610000000,3601000000,5249000000,54278000000,7607000000,7658000000,45493000000,21473000000,24020000000,235000000,883000000,203000000,1667000000,176000000,45353000000,8912000000,2402000000,198000000,714000000,206000000,38409000000,None,27210000000,508000000,27210000000,27924000000,5796000000,9030000000,30897000000,10225000000,23978000000,23206000000,1748070000,13006000000,27683000000,23429000000,12409000000,1564000000,9182000000,2260000000,12164000000,124000000,-904000000,124000000,904000000,1197000000,1413000000,1046000000,1975000000,2355000000,1878000000,904000000,353000000,1529000000,3259000000,5234000000,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",December,2021-12-31,215867605000,12756000000,31.07,2.19,20.3,1.82,0.0158,3.94,24.27,0.164,0.214,0.078,0.205,43074998000,25009000000,3.94,-0.075,0.072,143.72,31.07,24.15,5.01,6.0,4.997,20.02,0.742,142.1,104.19,130.01,123.59,1763480000,2022-05-16,2022-04-13,57.0700,0.485811
ABBV,2017-12-31,USD,9960000000,2866000000,None,425000000,416000000,1501000000,529000000,391000000,-93000000,5309000000,-274000000,-5512000000,22000000,1410000000,1410000000,None,4107000000,4107000000,None,None,0,None,-1156000000,None,4203000000,29000000,5309000000,70786000000,21223000000,9303000000,9789000000,1605000000,2042000000,49563000000,2803000000,5268000000,43344000000,27559000000,15785000000,2528000000,2090000000,486000000,4741000000,1326000000,65689000000,16641000000,1474000000,None,6415000000,400000000,46558000000,None,30953000000,6015000000,None,400000000,8752000000,1241000000,5097000000,11923000000,5459000000,18000000,1596000000,21174000000,28216000000,7042000000,7042000000,9545000000,6295000000,5309000000,13100000000,146000000,-1150000000,146000000,1150000000,-348000000,-466000000,425000000,1076000000,7727000000,2418000000,1150000000,5309000000,5168000000,8877000000,9953000000,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",December,2021-12-31,264498856000,28050000000,23.18,1.279,8.71,5.31,0.0388,6.45,31.75,0.205,0.347,0.0822,0.809,56197001000,38883000000,6.45,248.9,0.074,149.75,23.18,10.2,4.707,18.79,5.75,21.02,0.798,150.36,97.51,137.55,120.24,1768750000,2022-05-16,2022-04-13,96.7100,0.5443948
ABMD,2017-03-31,USD,115116000,13797000,None,9310000,26200000,6200000,50415000,11550000,12284000,52116000,-126333000,3867000,None,None,None,None,None,None,None,None,None,None,12380000,None,-9191000,-1841000,52116000,550414000,326958000,39040000,229948000,34931000,54055000,270599000,87777000,19952000,45527000,14482000,31045000,245251000,47143000,190908000,8024000,8286000,98343000,69617000,20620000,10495000,799000,799000,28726000,15539000,15539000,799000,None,16338000,10495000,3251000,452071000,46763000,-46959000,437000,43673286,374677000,445304000,70627000,70627000,90138000,218153000,66386000,284539000,1554000,None,1554000,None,445304000,-349000,6200000,6202000,91343000,39227000,None,52116000,46050000,90138000,96340000,Common Stock,Abiomed Inc,"Abiomed is a publicly-traded medical devices company that develops and manufactures external and implantable circulatory support devices. The company is headquartered in Danvers, Massachusetts and has three additional offices, two in Germany in the cities of Berlin and Aachen, and another in Tokyo, Japan.",815094,NASDAQ,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"22 CHERRY HILL DRIVE, DANVERS, MA, UNITED STATES",March,2021-12-31,14214708000,280839000,107.36,2.75,31.48,0,0,2.909,22.11,0.133,0.253,0.105,0.0988,1003148000,685615000,2.909,-0.259,0.127,365,107.36,-,14.17,9.48,12.87,45.77,1.359,379.3,261.27,315.15,324.88,45516200,None,None,125.2000,0.3205358
ACN,2017-08-31,USD,4973039000,1304539000,None,44823000,853023000,801789000,515919000,73322000,None,3485801000,-2233879000,-3560235000,None,2649051000,2649051000,None,1567578000,1567578000,None,None,None,None,-1973006000,None,-778749000,42326000,3445149000,22689890000,12097289000,4126860000,4129871000,None,4569214000,10592601000,1140598000,1912146000,5712734000,710382000,5002352000,189066000,211610000,3011000,1082161000,1226331000,13740413000,9824279000,1525065000,3332768000,2907000,25070000,3155411000,None,0,2907000,None,25070000,857938000,349363000,8949477000,1649090000,7081855000,71000,617515125,11071492000,36176841000,25105349000,25734986000,5191402000,5888090000,704317000,6742076000,37940000,-15545000,37940000,15545000,95488000,-87720000,362817000,149417000,4426249000,981100000,15545000,3634932000,4012085000,4441794000,4591211000,Common Stock,Accenture plc,"Accenture plc is an Irish-domiciled multinational company that provides consulting and processing services. It has been incorporated in Dublin, Ireland since 2009.",1467373,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1 GRAND CANAL SQUARE, GRAND CANAL HARBOUR, DUBLIN, IE",August,2021-11-30,203826659000,9030121000,33.55,2.544,32.2,3.7,0.0123,9.61,84.72,0.115,0.152,0.125,0.32,53736358000,16364128000,9.61,0.197,0.272,380.96,33.55,30.49,3.793,9.97,3.737,19.75,1.214,416.29,241.65,362.18,335.15,632001000,2022-02-15,2022-01-12,130.7600,0.1370435
ATVI,2016-12-31,USD,2213000000,145000000,None,1250000000,288000000,901000000,155000000,165000000,26000000,273000000,-207000000,-624000000,None,None,None,None,226000000,226000000,None,None,3741000000,None,178000000,None,1468000000,76000000,966000000,17452000000,4830000000,3245000000,3245000000,49000000,732000000,12285000000,258000000,547000000,11626000000,1858000000,9768000000,None,None,None,392000000,401000000,8333000000,2656000000,222000000,1628000000,None,None,5633000000,None,4887000000,None,4887000000,4887000000,None,746000000,9119000000,5563000000,4869000000,0,743000000,4214000000,6608000000,2394000000,42000000,1412000000,1844000000,958000000,3631000000,None,-197000000,None,197000000,-92000000,-214000000,121000000,829000000,1106000000,140000000,289000000,966000000,970000000,1412000000,2132000000,Common Stock,Activision Blizzard Inc,"Activision Blizzard, Inc. is an American video game holding company based in Santa Monica, California. Activision Blizzard currently includes five business units: Activision Publishing, Blizzard Entertainment, King, Major League Gaming, and Activision Blizzard Studios.",718877,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"3100 OCEAN PARK BLVD, SANTA MONICA, CA, US",December,2021-12-31,63446405000,3452000000,23.67,6.02,22.59,0.47,0.0058,3.44,11.33,0.307,0.379,0.0866,0.165,8803000000,6486000000,3.44,0.106,-0.103,94.34,23.67,22.27,7.21,3.588,6.4,14.92,0.579,99.46,56.4,73.11,79.37,779057000,2022-05-06,2022-04-13,36.1100,-0.0671661
ADM,2017-12-31,USD,-5966000000,876000000,None,-556000000,-612000000,924000000,1049000000,-73000000,137000000,1602000000,7291000000,-1028000000,685000000,750000000,750000000,None,730000000,730000000,None,None,532000000,None,-750000000,None,297000000,None,1595000000,43997000000,21347000000,852000000,852000000,9170000000,2298000000,23621000000,10106000000,15893000000,5476000000,2091000000,3385000000,5132000000,5132000000,None,4600000000,965000000,30436000000,13734000000,3746000000,604000000,1424000000,1202000000,10980000000,215000000,7679000000,7000000,7672000000,8881000000,3542000000,1333000000,13808000000,5400000000,18958000000,2655000000,560000000,3518000000,60828000000,57310000000,57322000000,1089000000,1978000000,129000000,2417000000,106000000,-330000000,106000000,330000000,626000000,-59000000,802000000,122000000,1602000000,7000000,341000000,1602000000,2556000000,1932000000,2054000000,Common Stock,Archer-Daniels-Midland Company,"The Archer-Daniels-Midland Company, commonly known as ADM, is an American multinational food processing and commodities trading corporation founded in 1902 and headquartered in Chicago, Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide, where cereal grains and oilseeds are processed into products used in food, beverage, nutraceutical, industrial, and animal feed markets worldwide.",7084,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"77 W. WACKER DR., CHICAGO, IL, US",December,2021-12-31,44354974000,3934000000,16.47,21.72,40.14,1.48,0.0211,4.79,151.15,0.0318,0.0345,0.0347,0.128,85248999000,5987000000,4.79,0.131,0.284,73.23,16.47,14.56,0.52,1.906,0.605,11.27,0.809,79.06,53.73,71.29,64.83,562167000,2021-09-08,2022-02-07,40.0800,-0.1220153
ADBE,2017-12-01,USD,2912853000,69430000,None,71425000,159133000,325997000,178122000,187173000,None,1693954000,-442877000,-1183735000,None,1100000000,1100000000,None,None,None,None,None,None,None,-941649000,158351000,1294757000,8516000,1693954000,14535556000,7247813000,2306000000,5819774000,None,1217968000,7287743000,936976000,1266518000,6207219000,385658000,5821561000,None,None,3513702000,210000000,143548000,6075687000,3527457000,113538000,2494542000,None,1882479000,666809000,None,1881421000,1882479000,None,1881421000,1007050000,125188000,8459000000,6084436000,9573870000,61000,491262000,6291014000,7301505000,1010491000,76100000,2168095000,2822298000,1224059000,4122919000,66069000,-74402000,66069000,74402000,-30705000,83000,None,310500000,2137641000,443687000,74402000,1693954000,1755735000,2212043000,2522543000,Common Stock,Adobe Inc,"Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing.",796343,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"345 PARK AVE, SAN JOSE, CA, US",November,2021-11-30,219896889000,6378000000,46.46,1.723,31.15,0,0,10.02,33.07,0.305,0.368,0.141,0.344,15785000000,13920000000,10.02,-0.447,0.2,653.93,46.46,31.85,13.93,14.13,13.17,31.47,1.014,699.54,416.81,522.42,586.6,472348000,None,2005-03-24,175.2400,0.7021855
AAP,2017-12-31,USD,600805000,81870000,None,-210463000,-203595000,249260000,200984000,-36047000,-167548000,475505000,-178639000,-14872000,14004000,6498000,6498000,None,17854000,17854000,None,4076000,None,None,-2422000,None,411759000,4465000,475505000,8482301000,5426892000,546937000,546937000,4168492000,606357000,3055409000,1394138000,1783383000,1591974000,597674000,994300000,0,0,None,105106000,69304000,5067105000,3480097000,2894582000,None,350000,350000,1300188000,None,1109350000,350000,1044327000,1044677000,51967000,239061000,3415196000,144600000,2920096000,8000,73936000,4085049000,9369784000,8880117000,5288735000,570212000,3514837000,None,3591382000,None,-58801000,-62801000,58801000,-4000000,8848000,206900000,47400000,520259000,44754000,None,475505000,490252000,570212000,617612000,Common Stock,Advance Auto Parts Inc,"Advance Auto Parts, Inc. (Advance) is an American automotive aftermarket parts provider. Headquartered in Raleigh, North Carolina, it serves both professional installer and do-it-yourself (DIY) customers.",1158449,NYSE,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"2635 EAST MILLBROOK ROAD, RALEIGH, NC, US",December,2021-12-31,12559834000,1161460000,21.53,1.109,50.89,3.25,0.0292,9.55,171.77,0.056,0.082,0.0469,0.184,10997989000,4931356000,9.55,-0.207,0.013,257.59,21.53,17.04,1.142,4.273,1.467,14.62,1.252,244.55,158.71,230.31,216.55,61098000,2022-04-01,2022-03-17,99.6900,-0.4105369
